,block,stimulus_block,stimulus_side,key_press,responses,rt,stimulus,stimulus_2,stimulus_block,stimulus_side,sub_block,subject,tags1,tags2,time_elapsed,trial_type
129,6,C,0,K,,1123,f42887_e_201 copy.png,f42887_e_040 copy.png,C,0,0,5,['C'],['E'],318399,bRMS
130,6,C,1,D,,1362.7,f42887_e_021 copy.png,f42887_e_213 copy.png,C,1,0,5,['C'],['E'],320399,bRMS
131,6,C,0,K,,1203.9,f42887_e_179 copy.png,f42887_e_099 copy.png,C,0,0,5,['C'],['E'],322217,bRMS
132,,,,,,2252,,,,,,,,,324887,instructions
133,,,,,"{""Q0"":""Man"",""Q1"":""Right"",""Q2"":""Yes"",""Q3"":""No""}",10490,,,,,,,,,335383,survey-multi-choice
134,,,,,"{""Q0"":3,""Q1"":3}",5214,,,,,,,,,340599,survey-likert
135,,,,,"{""Q0"":3}",5716,,,,,,,,,346317,survey-likert
136,,,,,,4448,,,,,,,,,350765,instructions
0,,,,,,103739,,,,,,,,,103739,instructions
1,0,training,0,K,,2897,Training3.png,,training,0,0,1,,,106704,bRMS
2,0,training,0,K,,2866.9,Training7.png,,training,0,0,1,,,110027,bRMS
3,0,training,1,D,,1754.6,Training9.png,,training,1,0,1,,,112246,bRMS
4,0,training,1,D,,1251.2,Training4.png,,training,1,0,1,,,113962,bRMS
5,0,training,1,D,,1743.4,Training5.png,,training,1,0,1,,,116164,bRMS
6,0,training,0,K,,1417.3,Training2.png,,training,0,0,1,,,118050,bRMS
7,0,training,0,K,,1322.8,Training8.png,,training,0,0,1,,,119844,bRMS
8,0,training,0,K,,6892,Training1.png,,training,0,0,1,,,127196,bRMS
9,0,training,0,K,,1628.3,Training10.png,,training,0,0,1,,,129289,bRMS
10,0,training,0,K,,1681.5,Training6.png,,training,0,0,1,,,131436,bRMS
11,,,,,,5562,,,,,,,,,137403,instructions
12,1,A,1,K,,3727,f42887_e_127 copy.png,f42887_e_200 copy.png,A,1,0,1,['A'],['B'],141184,bRMS
13,1,A,0,D,,1717.5,f42887_e_025 copy.png,f42887_e_016 copy.png,A,0,0,1,['A'],['B'],143364,bRMS
14,1,A,1,D,,1608.1,f42887_e_064 copy.png,f42887_e_231 copy.png,A,1,0,1,['A'],['B'],145443,bRMS
15,1,A,1,D,,1455.3,f42887_e_252 copy.png,f42887_e_295 copy.png,A,1,0,1,['A'],['B'],147368,bRMS
16,1,A,1,D,,1344.2,f42887_e_064 copy.png,f42887_e_056 copy.png,A,1,0,1,['A'],['B'],149182,bRMS
17,1,A,1,K,,1227.7,f42887_e_298 copy.png,f42887_e_287 copy.png,A,1,0,1,['A'],['B'],150872,bRMS
18,1,A,0,K,,2396.2,f42887_e_156 copy.png,f42887_e_191 copy.png,A,0,0,1,['A'],['B'],153728,bRMS
19,1,A,1,K,,1681.1,f42887_e_127 copy.png,f42887_e_180 copy.png,A,1,0,1,['A'],['B'],155875,bRMS
20,1,A,0,K,,1312.3,f42887_e_058 copy.png,f42887_e_004 copy.png,A,0,0,1,['A'],['B'],157655,bRMS
21,1,A,0,D,,1185.1,f42887_e_252 copy.png,f42887_e_289 copy.png,A,0,0,1,['A'],['B'],159300,bRMS
22,1,A,1,D,,1276.3,f42887_e_121 copy.png,f42887_e_120 copy.png,A,1,0,1,['A'],['B'],161035,bRMS
23,1,A,1,D,,1770,f42887_e_005 copy.png,f42887_e_235 copy.png,A,1,0,1,['A'],['B'],163263,bRMS
24,1,A,0,D,,1763.7,f42887_e_298 copy.png,f42887_e_161 copy.png,A,0,0,1,['A'],['B'],165493,bRMS
25,1,A,0,D,,2347.9,f42887_e_058 copy.png,f42887_e_166 copy.png,A,0,0,1,['A'],['B'],168300,bRMS
26,1,A,0,D,,2817.8,f42887_e_156 copy.png,f42887_e_065 copy.png,A,0,0,1,['A'],['B'],171580,bRMS
27,1,A,0,K,,3863.6,f42887_e_025 copy.png,f42887_e_054 copy.png,A,0,0,1,['A'],['B'],175910,bRMS
28,1,A,0,K,,1974.7,f42887_e_121 copy.png,f42887_e_080 copy.png,A,0,0,1,['A'],['B'],178355,bRMS
29,3,B,0,D,,1599.2,f42887_e_065 copy.png,f42887_e_266 copy.png,B,0,0,1,['B'],['C'],180413,bRMS
30,3,B,1,K,,1566.6,f42887_e_120 copy.png,f42887_e_176 copy.png,B,1,0,1,['B'],['C'],182445,bRMS
31,3,B,1,D,,2586,f42887_e_235 copy.png,f42887_e_021 copy.png,B,1,0,1,['B'],['C'],185490,bRMS
32,3,B,1,K,,1604.6,f42887_e_056 copy.png,f42887_e_067 copy.png,B,1,0,1,['B'],['C'],187562,bRMS
33,3,B,0,K,,1404.9,f42887_e_080 copy.png,f42887_e_179 copy.png,B,0,0,1,['B'],['C'],189429,bRMS
34,3,B,1,D,,1250.9,f42887_e_289 copy.png,f42887_e_291 copy.png,B,1,0,1,['B'],['C'],191141,bRMS
